No,Mycelial growth,,Pig,Sexual development,,,,Con,Vir,Toxins,,Stress responses,,,,,
,PDA,MM,,NF,PM,AF,AD,,,ZEA,DON,Os,ROS,Fung,CW,pH4,pH11
FGSG_04220,1c,1d,4e,0f,0g,0h,0i,4j,2k,2k,0l,4m,4m,4m,4m,4m,4m
FGSG_00946,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01030,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4
FGSG_01116,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01689,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02615,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03597,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05388,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05949,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4
FGSG_06359,3,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4
FGSG_07433,3,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2
FGSG_09724,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10331,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10800,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10886,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13640,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02288,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06860,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10829,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11696,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01984,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02080,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02646,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05280,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06910,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08897,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09892,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10143,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10277,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10286,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4
FGSG_12977,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_01411,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05896,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
FGSG_08531,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08915,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05110,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08455,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10015,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02130,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07076,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04258,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12264,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12006,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_12002,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_08831,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10030,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11624,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09945,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_09524,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4
FGSG_09349,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4
FGSG_11520,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10977,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11051,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_11462,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_10891,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04680,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04666,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04496,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07575,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_07568,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05926,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03924,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03873,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04170,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05827,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06516,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_03606,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02150,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_05309,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_02825,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_06380,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_04782,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_00153,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13652,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13625,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4
FGSG_13386,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13344,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13098,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FGSG_13008,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
